Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,Average_AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,TER,ter_change,ter_rolling_mean_30d,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
03-09-2024,46.1529,0.000709017,0.000708766,0.320193254,0.000450907,0.000850385,77270.1,0,28.78096731,,,,6.5,6.25,6.75,4.5,6.87,194.2,0.621761658,-0.37,5.878,0.5,886.22,46.1529,0,-0.011867594,46.1529,0,0.000257937,0.00045108,0.22692089,0,0.625010529
04-09-2024,46.214,0.00132386,0.001322985,0.321941006,0.000489325,0.000863255,77270.1,0,28.78096731,,,,6.5,6.25,6.75,4.5,6.859,194.2,0.621761658,-0.359,5.878,0.5,886.89,46.214,0,-0.011867594,46.214,0,0.000257937,0.001065924,0.26804209,0,0.749444464
05-09-2024,46.2251,0.000240187,0.000240158,0.322258519,0.000479545,0.000864397,77270.1,0,28.78096731,0.64,0,0.804,6.5,6.25,6.75,4.5,6.855,194.2,0.621761658,-0.355,5.878,0.5,887.14,46.2251,0,-0.011867594,46.2251,0,0.000257937,-1.77E-05,0.256373729,0,0.717768481
06-09-2024,46.219,-0.000131963,-0.000131972,0.322084029,0.000440105,0.000864406,77270.1,0,28.78096731,,,,6.5,6.25,6.75,4.5,6.854,194.2,0.621761658,-0.354,5.878,0.5,887.17,46.2251,-0.000131963,-0.011867594,46.2251,-0.000131963,0.000257937,-0.000389899,0.210744501,-0.000131963,0.591505838
09-09-2024,46.25,0.00067072,0.000670495,0.322970777,0.000438859,0.000864033,77270.1,0,28.78096731,0.64,0.103448276,0.71,6.5,6.25,6.75,4.5,6.854,194.2,0.621761658,-0.354,5.878,0.5,887.17,46.25,0,-0.011867594,46.25,0,0.000257937,0.000412783,0.209392432,0,0.587457301
10-09-2024,46.2755,0.000551351,0.000551199,0.323700199,0.000418533,0.000853566,77270.1,0,28.78096731,0.64,0,0.765333333,6.5,6.25,6.75,4.5,6.851,194.2,0.621761658,-0.351,5.878,0.5,887.34,46.2755,0,-0.011867594,46.2755,0,0.000257937,0.000293415,0.188147809,0,0.521459939
11-09-2024,46.3745,0.002139361,0.002137076,0.326532072,0.000539591,0.000830427,77270.1,0,28.78096731,,,,6.5,6.25,6.75,4.5,6.83,194.2,0.621761658,-0.33,5.878,0.5,888.66,46.3745,0,-0.011867594,46.3745,0,0.000257937,0.001881424,0.339168589,0,1.686507982
12-09-2024,46.442,0.001455541,0.001454483,0.328462894,0.00057664,0.00084605,77270.1,0,28.78096731,0.64,0.103448276,0.794,6.5,6.25,6.75,4.5,6.811,194.2,0.621761658,-0.311,5.878,0.5,889.82,46.442,0,-0.011867594,46.442,0,0.000257937,0.001197605,0.376696258,0,1.908352747
13-09-2024,46.4875,0.000979717,0.000979237,0.329764411,0.000596591,0.000848336,77270.1,0,28.78096731,0.64,0,0.686666667,6.5,6.25,6.75,4.5,6.792,194.2,0.621761658,-0.292,5.878,0.5,890.95,46.4875,0,-0.011867594,46.4875,0,0.000257937,0.00072178,0.39919873,0,2.027815272
16-09-2024,46.6158,0.002759882,0.00275608,0.333434404,0.000651504,0.000932068,77270.1,0,28.78096731,0.64,0.103448276,0.696333333,6.5,6.25,6.75,4.5,6.762,194.2,0.621761658,-0.262,5.878,0.5,892.84,46.6158,0,-0.011867594,46.6158,0,0.000257937,0.002501945,0.422252453,0,2.356628125
