Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,Average_AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,TER,ter_change,ter_rolling_mean_30d,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
2020-11-05,30.4266,0.0004405981613246,0.000440501126456,0.0286067801652445,,,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.86,158.9,0.3156565656565746,-1.86,3.684,,971.23,30.4628,-0.0011883346245256804,-0.004202106800449001,,,0.00015873015873015873,0.00028186800259444127,,0.0,
2020-11-06,30.4346,0.0002629278328829,0.0002628932734179,0.0288772295168422,,,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.871,158.9,0.3156565656565746,-1.871,3.684,,971.45,30.4628,-0.0009257192378902063,-0.004202106800449001,,,0.00015873015873015873,0.00010419767415274127,,0.0,
2020-11-09,30.4546,0.0006571468000236,0.0006569309736131,0.0295533528958362,,,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.876,158.9,0.3156565656565746,-1.876,3.684,,969.83,30.4628,-0.00026918077130146296,-0.004202106800449001,,,0.00015873015873015873,0.0004984166412934413,,0.0,
2020-11-10,30.3204,-0.004406559271834,-0.0044162967705816,0.0250165650227853,,,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.916,158.9,0.3156565656565746,-1.916,3.684,,967.62,30.4628,-0.004674553882112021,-0.004674553882112021,,,0.00015873015873015873,-0.004565289430564158,,-0.004406559271834,
2020-11-11,30.2855,-0.0011510402237437,-0.0011517031793166,0.0238367297264403,,,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.903,158.9,0.3156565656565746,-1.903,3.684,,967.9,30.4628,-0.005820213506309415,-0.005820213506309415,,,0.00015873015873015873,-0.0013097703824738588,,-0.0011510402237437,
2020-11-12,30.2904,0.0001617935975963,0.0001617805104238,0.0240023799542941,,,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.903,158.9,0.3156565656565746,-1.903,3.684,,967.73,30.4628,-0.005659361581995078,-0.005820213506309415,,,0.00015873015873015873,3.063438866141271e-06,,0.0,
2020-11-13,30.3383,0.0015813591104771,0.0015801100787641,0.0256216954469852,,,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.878,158.9,0.3156565656565746,-1.878,3.684,,969.88,30.4628,-0.004086951954515053,-0.005820213506309415,30.4628,-0.004086951954515053,0.00015873015873015873,0.0014226289517469412,,0.0,
2020-11-17,30.3959,0.0018985902308303,0.0018967901864024,0.0275689307784885,0.0009101162382516,0.002569003080238,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.877,158.9,0.3156565656565746,-1.877,3.684,,970.15,30.4628,-0.0021961211707394067,-0.005820213506309415,30.4628,-0.0021961211707394067,0.00015873015873015873,0.0017398600721001414,0.29248157983986744,0.0,0.6706301813784747
2020-11-18,30.416,0.0006612733954249,0.0006610548505132,0.0282484347743776,0.0009362154250398,0.0025621271226727,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.878,158.9,0.3156565656565746,-1.878,3.684,,970.08,30.4628,-0.0015363000118177271,-0.005820213506309415,30.4628,-0.0015363000118177271,0.00015873015873015873,0.0005025432366947412,0.3034530408071981,0.0,0.6930483551004576
2020-11-19,30.4232,0.0002367175170963,0.0002366895039255,0.0284918391908155,0.0010801360505071,0.0023857826708217,133925.63,0.0,0.0,0.25,0.0,0.25,4.0,,4.25,3.0,5.876,158.9,0.3156565656565746,-1.876,3.684,,970.13,30.4628,-0.0012999461638457423,-0.005820213506309415,30.4628,-0.0012999461638457423,0.00015873015873015873,7.798735836614127e-05,0.38620696807207583,0.0,1.0378895122468896
