Date,nav,daily_return,log_return,cum_return,rolling_mean_30d,rolling_vol_30d,TER,ter_change,ter_rolling_mean_30d,Average AUM,AUM_Growth_Rate,Cumulative_AUM_Growth,Repo_Rate,SDF_Rate,MSF_Rate,Cash Reserve Ratio (CRR),Gsec_10Y_Yield,CPI_Index,CPI_Inflation,Repo_Gsec_Spread,Real_Repo_Rate,Policy_Corridor,Gsec_10Y_Closing_Price,cum_max_nav,drawdown,max_drawdown,rolling_peak_30d,rolling_drawdown_30d,risk_free_daily,excess_return,rolling_sharpe_30d,downside,rolling_sortino_30d
2020-12-10,30.5861,0.000147147,0.000147136,0.028332336,0.000242055,0.00078953,,,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.916,157.3,-1.0069225928256764,-1.916,5.007,,967.48,30.6099,-0.00077752622517556,-0.0018310494613883,30.6099,-0.00077752622517556,0.00015873015873015873,-1.1583158730158724e-05,0.1055355357178127,0.0,0.26781844426543594
2020-12-11,30.5686,-0.000572155,-0.000572319,0.02774397,0.000230777,0.000798922,,,,75176.33,0.0,0.0,4.0,,4.25,3.0,5.956,157.3,-1.0069225928256764,-1.956,5.007,,965.01,30.6099,-0.0013492366848633832,-0.0018310494613883,30.6099,-0.0013492366848633832,0.00015873015873015873,-0.0007308851587301587,0.09017855725279919,-0.000572155,0.22603380732429418
2020-12-14,30.5785,0.000323862,0.000323809,0.028076817,0.000269572,0.000772971,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.946,157.3,-1.0069225928256764,-1.946,5.007,,965.23,30.6099,-0.0010258119105257262,-0.0018310494613883,30.6099,-0.0010258119105257262,0.00015873015873015873,0.00016513184126984128,0.14339512771743906,0.0,0.373196164225578
2020-12-15,30.6165,0.001242703,0.001241932,0.029354411,0.00033627,0.000767533,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.941,157.3,-1.0069225928256764,-1.941,5.007,,965.37,30.6165,0.0,-0.0018310494613883,30.6165,0.0,0.00015873015873015873,0.0010839728412698412,0.23131125119448395,0.0,0.6403368571354361
2020-12-16,30.6294,0.000421341,0.000421253,0.029788121,0.000344596,0.000767039,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.944,157.3,-1.0069225928256764,-1.944,5.007,,965.1,30.6294,0.0,-0.0018310494613883,30.6294,0.0,0.00015873015873015873,0.00026261084126984126,0.24231476040590677,0.0,0.670366302728409
2020-12-17,30.6344,0.000163242,0.000163229,0.029956226,0.000330135,0.000766204,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.952,157.3,-1.0069225928256764,-1.952,5.007,,964.89,30.6344,0.0,-0.0018310494613883,30.6344,0.0,0.00015873015873015873,4.511841269841263e-06,0.22370537943201702,0.0,0.6182095302235917
2020-12-18,30.6254,-0.000293787,-0.000293831,0.029653637,0.000329574,0.000766671,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.959,157.3,-1.0069225928256764,-1.959,5.007,,963.92,30.6344,-0.00029378737628288267,-0.0018310494613883,30.6344,-0.00029378737628288267,0.00015873015873015873,-0.00045251715873015873,0.22283622456761143,-0.000293787,0.6155527031871305
2020-12-21,30.6222,-0.000104488,-0.000104494,0.029546051,0.000256729,0.000695008,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.957,157.3,-1.0069225928256764,-1.957,5.007,,963.17,30.6344,-0.00039824511007233664,-0.0018310494613883,30.6344,-0.00039824511007233664,0.00015873015873015873,-0.00026321815873015875,0.1410027544939259,-0.000104488,0.3547509704153551
2020-12-22,30.6298,0.000248186,0.000248155,0.029801569,0.000246574,0.000692754,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.951,157.3,-1.0069225928256764,-1.951,5.007,,963.71,30.6344,-0.00015015799232235451,-0.0018310494613883,30.6344,-0.00015015799232235451,0.00015873015873015873,8.945584126984128e-05,0.1268015662221062,0.0,0.31798733353788033
2020-12-23,30.6464,0.000541956,0.000541809,0.030359676,0.00027615,0.000685515,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.95,157.3,-1.0069225928256764,-1.95,5.007,,963.67,30.6464,0.0,-0.0018310494613883,30.6464,0.0,0.00015873015873015873,0.0003832258412698413,0.17128592975380494,0.0,0.4267025852282341
2020-12-24,30.6548,0.000274094,0.000274057,0.030642092,0.000319724,0.00063942,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.929,157.3,-1.0069225928256764,-1.929,5.007,,964.78,30.6548,0.0,-0.0018310494613883,30.6548,0.0,0.00015873015873015873,0.00011536384126984128,0.2517786012230928,0.0,0.7361703774463357
2020-12-28,30.7123,0.001875726,0.001873969,0.032575294,0.000382687,0.000696005,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.925,157.3,-1.0069225928256764,-1.925,5.007,,966.0,30.7123,0.0,-0.0018310494613883,30.7123,0.0,0.00015873015873015873,0.0017169958412698414,0.32177432434327713,0.0,1.0231043518847036
2020-12-29,30.6902,-0.000719581,-0.00071984,0.031832272,0.000360567,0.00072054,0.45,0.0,0.45,75176.33,0.0,0.0,4.0,,4.25,3.0,5.927,157.3,-1.0069225928256764,-1.927,5.007,,965.34,30.7123,-0.0007195814054954605,-0.0018310494613883,30.7123,-0.0007195814054954605,0.00015873015873015873,-0.0008783111587301587,0.280119543929063,-0.000719581,0.8223169053239044
